DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
221012157,07/28/2022 12:00:00 AM,07/28/2022 12:00:00 AM,2000,10,West Valley,1005,2,624,BATTERY - SIMPLE ASSAULT,2000 0400 0913 1813 0447,32,F,H,501.0,SINGLE FAMILY DWELLING,500.0,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,624.0,,,,17900    BURTON                       ST,,34.22,-118.5229
211519153,12/28/2021 12:00:00 AM,12/24/2021 12:00:00 AM,1151,15,N Hollywood,1546,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0701,43,M,H,108.0,PARKING LOT,,,IC,Invest Cont,440.0,998.0,,,11600    MAGNOLIA                     BL,,34.1649,-118.3847
220805281,01/23/2022 12:00:00 AM,01/22/2022 12:00:00 AM,1322,8,West LA,859,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 2032,37,M,W,203.0,OTHER BUSINESS,,,IC,Invest Cont,341.0,,,,LA CIENEGA,PICO,34.0529,-118.3762
201115532,11/08/2020 12:00:00 AM,11/07/2020 12:00:00 AM,1700,11,Northeast,1171,1,310,BURGLARY,0344 0321 1607,49,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,1800    REDESDALE                    AV,,34.0918,-118.2687
201804718,01/14/2020 12:00:00 AM,01/14/2020 12:00:00 AM,1440,18,Southeast,1829,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0447 0416,22,F,B,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,2100 E  CENTURY                      BL,,33.9463,-118.235
220610367,05/17/2022 12:00:00 AM,05/17/2022 12:00:00 AM,30,6,Hollywood,656,1,210,ROBBERY,1822 0334 0302 1501 0355 0344,40,M,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,EL CENTRO,SANTA MONICA,34.0907,-118.3244
210213008,08/08/2021 12:00:00 AM,08/07/2021 12:00:00 AM,2300,2,Rampart,205,1,330,BURGLARY FROM VEHICLE,0344 1609 1307 0329 0377,26,F,H,101.0,STREET,,,IC,Invest Cont,330.0,,,,3000 W  SUNSET                       BL,,34.084,-118.2741
200812182,07/22/2020 12:00:00 AM,07/21/2020 12:00:00 AM,2200,8,West LA,881,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1822 1606 0344,23,F,W,104.0,DRIVEWAY,,,IC,Invest Cont,420.0,,,,11700    EXPOSITION                   BL,,34.0322,-118.449
221200779,08/16/2022 12:00:00 AM,08/16/2022 12:00:00 AM,900,12,77th Street,1255,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,1251 1258 0913 0400 0416 0553 1402,11,F,H,501.0,SINGLE FAMILY DWELLING,500.0,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,627.0,998.0,,,1000 W  78TH                         ST,,33.9694,-118.2919
210610726,06/05/2021 12:00:00 AM,06/05/2021 12:00:00 AM,1200,6,Hollywood,628,1,320,"BURGLARY, ATTEMPTED",1402 1822 2033,0,X,X,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,320.0,998.0,,,6000    FRANKLIN                     AV,,34.1084,-118.3213
211207949,03/03/2021 12:00:00 AM,03/03/2021 12:00:00 AM,1300,12,77th Street,1213,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1240 1309 1822 0216 0334 0302 1100 0450,21,F,H,101.0,STREET,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,230.0,,,,54TH                         ST,WESTERN,33.9933,-118.3089
230504027,01/01/2022 12:00:00 AM,01/01/2022 12:00:00 AM,2215,5,Harbor,541,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0389 0913 0329 0431 0416 0342 0447 0419 1402 1820,25,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230.0,998.0,,,1400    BRETT                        PL,,33.7553,-118.3056
231311376,05/26/2023 12:00:00 AM,05/23/2023 12:00:00 AM,1000,13,Newton,1313,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0398,0,M,W,210.0,RESTAURANT/FAST FOOD,,,IC,Invest Cont,341.0,,,,1900 S  SAN PEDRO                    ST,,34.0276,-118.2574
241310495,06/18/2024 12:00:00 AM,06/18/2024 12:00:00 AM,1800,13,Newton,1313,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,1000 E  WASHINGTON                   BL,,34.0259,-118.2536
230607534,03/23/2023 12:00:00 AM,03/23/2023 12:00:00 AM,951,6,Hollywood,648,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",0913 1822 1906 1813,27,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AA,Adult Arrest,956.0,,,,5500    HAROLD                       WY,,34.0993,-118.3092
230908289,04/17/2023 12:00:00 AM,04/10/2023 12:00:00 AM,1200,9,Van Nuys,943,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,5600    CALHOUN                      AV,,34.1721,-118.4422
212117319,12/07/2021 12:00:00 AM,12/07/2021 12:00:00 AM,1550,21,Topanga,2156,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,35,M,X,404.0,DEPARTMENT STORE,,,IC,Invest Cont,442.0,,,,21900    VANOWEN                      ST,,34.1938,-118.6037
220818311,12/19/2022 12:00:00 AM,12/17/2022 12:00:00 AM,1700,8,West LA,881,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0385,36,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,331.0,,,,1800    BROCKTON                     AV,,34.0371,-118.4576
221209074,04/02/2022 12:00:00 AM,04/02/2022 12:00:00 AM,630,12,77th Street,1241,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,1202 2000 1813 0913 0443 0319 0356 0448 0411 0432,47,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",208.0,RAZOR,AA,Adult Arrest,236.0,998.0,,,3500 W  63RD                         ST,,33.9829,-118.3338
221210613,04/19/2022 12:00:00 AM,04/19/2022 12:00:00 AM,1401,12,77th Street,1265,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1822,71,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,331.0,,,,1400 W  81ST                         ST,,33.9655,-118.3003
201013614,10/01/2020 12:00:00 AM,09/30/2020 12:00:00 AM,1400,10,West Valley,1097,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822 1300,48,F,W,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,17200    QUESAN                       PL,,34.1495,-118.5065
201226663,12/17/2020 12:00:00 AM,12/17/2020 12:00:00 AM,1440,12,77th Street,1239,2,624,BATTERY - SIMPLE ASSAULT,2055 1516 0903 0319 1309 0356 1266,45,M,H,242.0,"DISCOUNT STORE (99 CENT,DOLLAR,ETC.",500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624.0,946.0,,,5800 S  VERMONT                      AV,,33.9883,-118.2915
241909526,06/15/2024 12:00:00 AM,01/18/2024 12:00:00 AM,1,19,Mission,1999,2,354,THEFT OF IDENTITY,0377,24,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,7800    WOODMAN                      AV,,34.212,-118.4309
200107170,02/14/2020 12:00:00 AM,02/14/2020 12:00:00 AM,320,1,Central,156,1,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,0500 1817 2004 1218 0913,41,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,821.0,,,,500 S  SAN PEDRO                    ST,,34.0437,-118.2455
231516441,10/23/2023 12:00:00 AM,10/18/2023 12:00:00 AM,1830,15,N Hollywood,1567,2,625,OTHER ASSAULT,1822 0356 1310,21,M,W,101.0,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,625.0,,,,4300    LANKERSHIM                   BL,,34.1512,-118.3663
230808809,04/27/2023 12:00:00 AM,04/25/2023 12:00:00 AM,800,8,West LA,895,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1606 1822 0344,58,M,H,108.0,PARKING LOT,,,IC,Invest Cont,420.0,,,,3400    MANNING                      AV,,34.0306,-118.4051
200517742,12/12/2020 12:00:00 AM,12/12/2020 12:00:00 AM,1130,5,Harbor,563,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,1251 0602 0913 1258 0553 0416,10,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,627.0,,,,500 W  16TH                         ST,,33.7297,-118.2884
221909140,05/06/2022 12:00:00 AM,05/05/2022 12:00:00 AM,1630,19,Mission,1936,1,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,11500    LAUREL CANYON                BL,,34.2787,-118.4533
211012483,09/19/2021 12:00:00 AM,09/19/2021 12:00:00 AM,1400,10,West Valley,1047,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 0913 1820 0416 0408 0446 1414,28,M,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230.0,,,,17400    COLLINS                      ST,,34.1738,-118.5123
200104992,01/14/2020 12:00:00 AM,01/12/2020 12:00:00 AM,100,1,Central,164,1,210,ROBBERY,0416 0337 0334 0443 1822 0344 0377,31,M,H,101.0,STREET,207.0,OTHER KNIFE,IC,Invest Cont,210.0,,,,6TH                          ST,LOS ANGELES,34.0446,-118.249
200909263,05/03/2020 12:00:00 AM,05/03/2020 12:00:00 AM,1400,9,Van Nuys,915,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1813 0400,29,M,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,6900    HAZELTINE                    AV,,34.1976,-118.4443
200616037,09/29/2020 12:00:00 AM,09/25/2020 12:00:00 AM,1800,6,Hollywood,632,1,510,VEHICLE - STOLEN,,0,,,104.0,DRIVEWAY,,,IC,Invest Cont,510.0,,,,8500    RIDPATH                      DR,,34.1054,-118.3778
241205977,02/01/2024 12:00:00 AM,02/01/2024 12:00:00 AM,1645,12,77th Street,1267,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0913 0400 0408 0444 1814 2000,69,F,B,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,236.0,,,,900 W  82ND                         ST,,33.9643,-118.2896
221310035,04/22/2022 12:00:00 AM,04/22/2022 12:00:00 AM,900,13,Newton,1343,1,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,3600    AVALON                       BL,,34.0136,-118.2653
241208759,03/21/2024 12:00:00 AM,03/21/2024 12:00:00 AM,320,12,77th Street,1233,1,310,BURGLARY,1822 1607 0344,0,X,X,210.0,RESTAURANT/FAST FOOD,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,310.0,,,,1900 W  SLAUSON                      AV,,33.9891,-118.3121
200115718,08/01/2020 12:00:00 AM,08/01/2020 12:00:00 AM,2120,1,Central,182,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 1814 0400 0416,39,M,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626.0,,,,1200 S  FIGUEROA                     ST,,34.0416,-118.2671
220119982,09/07/2022 12:00:00 AM,09/06/2022 12:00:00 AM,1200,1,Central,163,1,330,BURGLARY FROM VEHICLE,1822 1307 0344 0329 1609,24,M,B,101.0,STREET,,,IC,Invest Cont,330.0,,,,700 S  SPRING                       ST,,34.0438,-118.2547
231104885,01/23/2023 12:00:00 AM,01/23/2023 12:00:00 AM,2210,11,Northeast,1132,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822,28,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,740.0,,,,3300    LOWRY                        RD,,34.1133,-118.279
220315849,08/28/2022 12:00:00 AM,08/28/2022 12:00:00 AM,1420,3,Southwest,376,2,434,FALSE IMPRISONMENT,1822 0353 1202 0363,69,F,H,501.0,SINGLE FAMILY DWELLING,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,434.0,,,,3900    DALTON                       AV,,34.0155,-118.3034
211613889,11/29/2021 12:00:00 AM,11/27/2021 12:00:00 AM,1200,16,Foothill,1663,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,12400    HALEY                        ST,,34.2333,-118.4036
241204581,01/09/2024 12:00:00 AM,01/09/2024 12:00:00 AM,1800,12,77th Street,1211,1,310,BURGLARY,0344 1606,44,F,A,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,5400    3RD                          AV,,33.9932,-118.3204
241906606,03/10/2024 12:00:00 AM,03/10/2024 12:00:00 AM,1230,19,Mission,1977,2,900,VIOLATION OF COURT ORDER,2038,51,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,900.0,,,,13800    OSBORNE                      ST,,34.2363,-118.434
200604408,01/10/2020 12:00:00 AM,01/09/2020 12:00:00 AM,700,6,Hollywood,639,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,AO,Adult Other,510.0,,,,5300    RUSSELL                      AV,,34.1042,-118.305
230411969,08/31/2023 12:00:00 AM,08/31/2023 12:00:00 AM,2056,4,Hollenbeck,491,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0325 0447 1822,0,X,X,401.0,MINI-MART,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,341.0,,,,1700 S  SOTO                         ST,,34.0233,-118.2222
200611233,06/09/2020 12:00:00 AM,05/31/2020 12:00:00 AM,2300,6,Hollywood,663,1,310,BURGLARY,0344 1822,41,M,W,729.0,SPECIALTY SCHOOL/OTHER,,,IC,Invest Cont,310.0,,,,1200 N  MCCADDEN                     PL,,34.0907,-118.3384
242107439,03/29/2024 12:00:00 AM,03/24/2024 12:00:00 AM,1,21,Topanga,2177,1,330,BURGLARY FROM VEHICLE,0344,38,M,W,104.0,DRIVEWAY,,,IC,Invest Cont,330.0,,,,20700    CLARENDON                    ST,,34.1704,-118.5839
200322474,12/30/2020 12:00:00 AM,12/30/2020 12:00:00 AM,2130,3,Southwest,361,1,761,BRANDISH WEAPON,0913 2000 1814 0334 0421 0432,41,F,B,501.0,SINGLE FAMILY DWELLING,511.0,VERBAL THREAT,AA,Adult Arrest,761.0,,,,4700    TACANA                       ST,,34.0163,-118.3523
202012031,07/12/2020 12:00:00 AM,07/01/2020 12:00:00 AM,2100,20,Olympic,2027,1,330,BURGLARY FROM VEHICLE,1822 0344,28,M,O,707.0,GARAGE/CARPORT,,,IC,Invest Cont,330.0,,,,500 S  BERENDO                      ST,,34.0641,-118.2941
210204525,01/15/2021 12:00:00 AM,01/15/2021 12:00:00 AM,830,2,Rampart,257,1,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,1200    WILSHIRE                     BL,,34.053,-118.2649
230607169,03/13/2023 12:00:00 AM,03/13/2023 12:00:00 AM,2100,6,Hollywood,646,1,210,ROBBERY,1822 0400 0344 0308 0377 1218 0334 0355 0342,39,M,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,FOUNTAIN,LAS PALMAS,34.0944,-118.3363
200509621,05/19/2020 12:00:00 AM,05/19/2020 12:00:00 AM,250,5,Harbor,528,1,648,ARSON,0329 1300,0,M,O,101.0,STREET,,,IC,Invest Cont,648.0,,,,BLINN                        AV,DRUMM                        AV,33.7903,-118.2453
230214631,07/24/2023 12:00:00 AM,07/12/2023 12:00:00 AM,803,2,Rampart,236,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0104,0,X,X,404.0,DEPARTMENT STORE,,,AO,Adult Other,442.0,,,,300 N  WESTLAKE                     AV,,34.0687,-118.2672
230604549,01/15/2023 12:00:00 AM,01/15/2023 12:00:00 AM,1,6,Hollywood,646,2,624,BATTERY - SIMPLE ASSAULT,1822 0400 1501 0419 2002,23,F,H,203.0,OTHER BUSINESS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,6700    HOLLYWOOD                    BL,,34.1016,-118.3361
200815780,10/27/2020 12:00:00 AM,10/27/2020 12:00:00 AM,200,8,West LA,891,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,51,M,B,101.0,STREET,,,IC,Invest Cont,745.0,,,,2400 S  BARRINGTON                   AV,,34.0294,-118.4481
231108582,05/02/2023 12:00:00 AM,05/02/2023 12:00:00 AM,100,11,Northeast,1137,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,59,M,H,101.0,STREET,,,IC,Invest Cont,740.0,,,,400 N  AVENUE 54,,34.1106,-118.199
231614506,11/29/2023 12:00:00 AM,11/29/2023 12:00:00 AM,2105,16,Foothill,1621,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,2000 0913 0421 1814,49,F,H,501.0,SINGLE FAMILY DWELLING,511.0,VERBAL THREAT,IC,Invest Cont,930.0,,,,13800    JUDD                         ST,,34.2615,-118.4335
241005311,02/05/2024 12:00:00 AM,02/05/2024 12:00:00 AM,900,10,West Valley,1025,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,6800    JAMIESON                     AV,,34.1948,-118.5216
231306831,02/24/2023 12:00:00 AM,02/23/2023 12:00:00 AM,100,13,Newton,1373,1,330,BURGLARY FROM VEHICLE,0344,40,M,H,506.0,ABANDONED BUILDING ABANDONED HOUSE,,,IC,Invest Cont,330.0,,,,600 E  56TH                         ST,,33.9915,-118.2652
220512487,08/13/2022 12:00:00 AM,08/02/2022 12:00:00 AM,835,5,Harbor,531,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1300 0344 0385,55,M,H,101.0,STREET,,,IC,Invest Cont,331.0,,,,25900    BELLE PORTE                  AV,,33.7882,-118.3012
221514618,09/06/2022 12:00:00 AM,04/18/2022 12:00:00 AM,20,15,N Hollywood,1501,2,354,THEFT OF IDENTITY,0377,49,M,W,751.0,WEBSITE,,,IC,Invest Cont,354.0,,,,7900    ATOLL                        AV,,34.213,-118.4189
222007834,03/29/2022 12:00:00 AM,03/23/2022 12:00:00 AM,1100,20,Olympic,2044,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1822 2032,30,F,H,707.0,GARAGE/CARPORT,,,IC,Invest Cont,420.0,,,,800 S  ARDMORE                      AV,,34.0577,-118.302
230512051,08/08/2023 12:00:00 AM,08/08/2023 12:00:00 AM,605,5,Harbor,585,2,900,VIOLATION OF COURT ORDER,2038,46,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AA,Adult Arrest,900.0,,,,600 W  20TH                         ST,,33.7261,-118.2902
220415573,11/21/2022 12:00:00 AM,11/20/2022 12:00:00 AM,1500,4,Hollenbeck,413,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,3300    SMITH                        ST,,34.0831,-118.2128
